Borough,Market Name,Latitude,Longitude,Days of Operation,Hours of Operations,Season Dates,Location Point
Brooklyn,Woodhull Hospital Farmstand,40.700726,-73.941932,Wednesday,9am-2pm,2020-07-01T00:00:00.000,"(40.700726, -73.941932)"
Bronx,Harvest Home St. Mary's Park Farm Stand,40.813884,-73.911812,Thursday,8am-4pm,7/9/2020-11/19/2020,"(40.813884, -73.911812)"
Brooklyn,Isabahlia Farmers' Market,40.663532,-73.902236,Saturday,8am-3pm,06/30/2020-10/31/2020,"(40.663532, -73.902236)"
Brooklyn,Harvest Home Kings County Hospital Farmers' Market,40.655828,-73.943355,Wednesday,8am-6pm,6/17/2020-11/25/2020,"(40.655828, -73.943355)"
Manhattan,Essex Crossing Farm Stand & CSA pickup,40.719322,-73.987817,Saturday,10:30 a.m. - 6 p.m.,09/01/2020-11/20/2020,"(40.719322, -73.987817)"
Manhattan,Union Square Greenmarket,40.737133,-73.990329,"Monday 
Wednesday
Friday
Saturday",8am - 6pm,Year-Round,"(40.737133, -73.990329)"
Manhattan,Bowling Green Greenmarket,40.704549,-74.01429,"Tuesday
Thursday",8am - 5pm,Year-Round (Temporarily Closed due to COVID),"(40.704549, -74.01429)"
Manhattan,92nd Street Greenmarket,40.780691,-73.946592,Sunday,9am-4pm,6/21 to 11/22,"(40.780691, -73.946592)"
Bronx,Harvest Home Co-op City Farm Stand,40.870249,-73.830963,Wednesday,8am-4pm,6/17/2020-11/25/2020,"(40.870249, -73.830963)"
Brooklyn,Cypress Hills Farmstand,40.682391,-73.876616,Friday,10am-5pm,7/10/20-11/20/20 estimate,"(40.682391, -73.876616)"
Manhattan,Inwood Park Greenmarket,40.869001,-73.920896,Saturday,8am - 3pm,Year-Round,"(40.869001, -73.920896)"
Manhattan,PS 5 Go!Healthy Farm Stand,40.85899,-73.922894,Wednesday,10am - 2pm,07/06/2020-11/20/2020,"(40.85899, -73.922894)"
Manhattan,Grass Roots Farmers' Market,40.823647,-73.943844,"Tuesday
Saturday",9am-4pm,07/02/2020-11/28/2020,"(40.823647, -73.943844)"
Brooklyn,Seeds in the Middle Fresh Food Box / Farmstand - Flatbush,40.691804,-73.951863,Thursday,1pm-7pm,5/28/20-9/30/20,"(40.691804, -73.951863)"
Manhattan,Staten Island Ferry Whitehall Terminal Greenmarket,40.701687901075,-74.011631125861,"Tuesday
Friday",8am - 7pm,Year-Round (Temporarily Closed due to COVID),"(40.701687901075, -74.011631125861)"
Queens,Ridgewood Farmstand,40.700123,-73.90621,Saturday,8:30am-3pm,7/11/20-11/21/20 estimate,"(40.700123, -73.90621)"
Staten Island,St. George Greenmarket,40.641586,-74.0779,Saturday,"8am - 2pm
-1pm (winter)",Year-Round,"(40.641586, -74.0779)"
Bronx,Bronx Family Center Go!Healthy Farm Stand,40.833734,-73.889934,Thursday,11am-2pm,Year-Round,"(40.833734, -73.889934)"
Manhattan,Astor Place Greenmarket,40.730079,-73.992842,Tuesday,8 a.m. - 4 p.m.,8/4 - 11/24,"(40.730079, -73.992842)"
Brooklyn,Brownsville/ENY - Health & Hospitals East New York,40.671977,-73.895248,Wednesday,10 a.m. - 3 p.m.,09/01/2020-11/20/2020,"(40.671977, -73.895248)"
Manhattan,Tucker Square Greenmarket,40.773876,-73.982226,"Thursday 
Saturday",8am - 5pm,Year-Round (Closed 07/04/19 & 11/28/19 - open 11/27/19),"(40.773876, -73.982226)"
Queens,Forest Park Farmstand,40.700955,-73.841426,Saturday,9:30am-3pm,7/11/20-11/21/20 estimate,"(40.700955, -73.841426)"
Brooklyn,Harvest Home Coney Island Hospital Farmers' Market,40.58667,-73.96615,Friday,8am-4pm,6/17/2020-11/25/2020,"(40.58667, -73.96615)"
Brooklyn,RB Pop Up Farm Stand,40.689879,-73.905298,Thursday,12pm-5pm,TBD,"(40.689879, -73.905298)"
Bronx,Mott Haven Farmers Market,40.809973,-73.916434,Monday,9am-3pm,07/06/2020-11/09/2020,"(40.809973, -73.916434)"
Manhattan,Harvest Home Harlem Hospital Farmers' Market,40.814358,-73.940659,Friday,8am-6pm,7/10/2020-11/20/2020,"(40.814358, -73.940659)"
Brooklyn,Hattie Carthan After Church Farmers' Market,40.690036,-73.943557,Sunday,1pm-6pm,07/11/2020-11/21/2020,"(40.690036, -73.943557)"
Brooklyn,Seeds in the Middle Fresh Food Box / Farmstand - Ocean Hill- Brownsville Farmstand,40.675024,-73.915778,Wednesday,12:30-3:30pm,Year-round,"(40.675024, -73.915778)"
Bronx,Lincoln Hospital Greenmarket,40.818013,-73.925185,"Tuesday 
Friday",8am - 3pm,6/26/20-11/20/20,"(40.818013, -73.925185)"
Queens,Queens Botanical Garden's Down to Earth Farmers' Market,40.75186,-73.826362,Friday,8:30am - 4pm,6/12/2020-11/27/2020,"(40.75186, -73.826362)"
Brooklyn,Bay Ridge Greenmarket,40.617278,-74.033588,Saturday,8am - 3pm,5/2 to 11/21,"(40.617278, -74.033588)"
Bronx,Harvest Home North Central Bronx Farmers' Market,40.879749,-73.884661,Wednesday,8am-4pm,6/17/2020-11/25/2020,"(40.879749, -73.884661)"
Brooklyn,Wyckoff House Museum Farm Stand,40.64497,-73.920914,Saturday,11am-4pm,6/20/2020-10/30/2020,"(40.64497, -73.920914)"
Brooklyn,Flatbush Junction Farmstand,40.632886,-73.947698,Saturday,9am-2pm,07/11/20-11/21/20 estimate,"(40.632886, -73.947698)"
Manhattan,Lower East Side Farmstand,40.714932,-73.983338,Thursday,8am-3pm,,"(40.714932, -73.983338)"
Manhattan,Fort Washington Greenmarket,40.842154,-73.942278,Tuesday,8am - 4pm,6/2 to 11/24,"(40.842154, -73.942278)"
Manhattan,PS 11 Farm Market,40.744006,-73.999415,Wednesday,8am-10am,06/03/2020-11/11/2020,"(40.744006, -73.999415)"
Brooklyn,Domino Park Greenmarket,40.715385,-73.967441,Sunday,8am - 3pm,7/12/2020- 11/29/2020,"(40.715385, -73.967441)"
Bronx,Van Cortlandt Park Alliance Amalgamated Housing Youth Farmstand,40.884532,-73.892172,Wednesday,1-6:30pm,07/08/2020-10/28/2020,"(40.884532, -73.892172)"
Brooklyn,Kensington Farmstand,40.64511,-73.979882,Saturday,8:30am-3pm,07/11/20-11/21/20 estimate,"(40.64511, -73.979882)"
Queens,Brooklyn Grange Farm Stand at Long Island City,40.752096,-73.925887,Saturday,10am-4pm,6/13/2020-10/24/2020,"(40.752096, -73.925887)"
Bronx,Riverdale Y Sunday Farmers Market,40.891762,-73.912208,Sunday,9am-2pm,6/14/2020-11/22/2020,"(40.891762, -73.912208)"
Bronx,Harvest Home Hunts Point Farm Stand,40.820986,-73.891613,Wednesday,8am-4pm,6/17/2020-11/25/2020,"(40.820986, -73.891613)"
Manhattan,82nd Street Greenmarket,40.774292,-73.951262,Saturday,9am - 2:30pm,Year-Round,"(40.774292, -73.951262)"
Queens,Elmhurst Hospital Greenmarket,40.745794,-73.885489,Tuesday,8am - 4pm,6/2 to 11/24,"(40.745794, -73.885489)"
Brooklyn,Park Slope's Down to Earth Farmers' Market,40.672194,-73.983785,Sunday,10am-4pm (winter closes at 3pm),Year-Round,"(40.672194, -73.983785)"
Manhattan,Chelsea's Down to Earth Farmers Market,40.745293,-73.998488,Saturday,9am-4pm,06/06/2020-12/20/2020,"(40.745293, -73.998488)"
Brooklyn,Brownsville Pitkin Farmstand,40.669264,-73.913554,Saturday,9am-2pm,07/11/20-11/21/20 (estimate),"(40.669264, -73.913554)"
Brooklyn,Bartel-Pritchard Square Greenmarket,40.661154,-73.980172,"Wednesday 
Sunday",W: 8am - 3pm; S: 9am-3pm,"Wednesday: Year-Round (Closed 12/25/19 & 1/1/20); 
Sunday: 05/05/19-12/22/19","(40.661154, -73.980172)"
Brooklyn,Hattie Carthan Community Farmers' Market,40.689511,-73.948039,Saturday,9am-3pm,08/02/2020-11/22/2020,"(40.689511, -73.948039)"
Bronx,New Roots Community Farm Stand,40.821403,-73.925528,Tuesday,3pm-7pm,07/07/2020-10/27/2020,"(40.821403, -73.925528)"
Manhattan,Savoy Park Down to Earth Farmers' Market,40.8179,-73.93809,Saturday,9am- 4pm,6/13/2020-11/28/2020,"(40.8179, -73.93809)"
Bronx,BronxWorks Farm Stand,40.832331,-73.91959,Thursday,10am-4pm,07/09/2020-11/12/2020,"(40.832331, -73.91959)"
Queens,Joseph Addabbo FHC Farm Stand,40.593313,-73.79166,Saturday,8am-2pm,08/01/2020-11/21/2020,"(40.593313, -73.79166)"
Staten Island,Staten Island Mall Greenmarket,40.583804,-74.161245,Saturday,"9am - 2pm
-1pm (winter)",Year-Round,"(40.583804, -74.161245)"
Manhattan,Abingdon Square Greenmarket,40.737553,-74.005687,Saturday,8am - 2pm,Year-Round,"(40.737553, -74.005687)"
Manhattan,Harvest Home East Harlem Farmers' Market,40.790253,-73.945635,Thursday,8am-4pm,7/9/2020-11/19/2020,"(40.790253, -73.945635)"
Queens,Rockaway Youth Task Force Youth Market,40.594492,-73.788077,Saturday,9am - 3pm,07/11/2020-11/21/2020,"(40.594492, -73.788077)"
Brooklyn,Harvest Home Brower Park Farm Stand,40.674007,-73.944544,Thursday,8am-3pm,6/18/2020-11/19/2020,"(40.674007, -73.944544)"
Bronx,Morrisania Farmstand,40.831117,-73.90071,Wednesday,10am-3pm,07/01/20-11/18/20 possibly,"(40.831117, -73.90071)"
Brooklyn,South Williamsburg Greenmarket,40.706998,-73.961364,Thursday,8am - 4pm,7/2 to 11/19,"(40.706998, -73.961364)"
Brooklyn,RB HopeBall Field Farmers Market,40.697175,-73.916878,Wednesday,9am-3pm,9/16/2020 - November unclear date,"(40.697175, -73.916878)"
Manhattan,Gouverneur Health Farmstand,40.712905,-73.986928,Thursday,9am-2pm,07/2/20-11/19/20 estimate,"(40.712905, -73.986928)"
Manhattan,Tribeca Greenmarket,40.716303,-74.010966,"Wednesday 
Saturday",8am-3pm,Year-Round (Wednesday temporarily Closed due to COVID),"(40.716303, -74.010966)"
Queens,Forest Hills Greenmarket,40.72188,-73.846383,Sunday,8am - 2pm,Year-Round,"(40.72188, -73.846383)"
Manhattan,City Hall Greenmarket,40.714165,-74.006309,"Tuesday
Friday",8am - 4pm,Year-Round (Temporarily Closed due to COVID)),"(40.714165, -74.006309)"
Manhattan,Milbank Center Go!Healthy Farm Stand,40.802317,-73.946351,Wednesday,3-5pm,Year-Round,"(40.802317, -73.946351)"
