Characteristic,Year,Demographic Category,Demographic Group,Overall Sample Size,Overall Population Size,Sample Cases with Characteristic,Estimated Population with Characteristic,Percentage with Characteristic,Lower Confidence Level,Upper Confidence Level
Has Health Care Coverage,2012,Age Group,65+,"1,716","2,812,153","1,683","2,758,275",98.10,97.2,98.9
Has Health Care Coverage,2012,Education Level,H.S. or GED,"1,593","4,151,923","1,385","3,446,125",83.00,80.1,85.9
Has Health Care Coverage,2012,Income Range,"Less than $25,000","1,521","3,863,940","1,205","2,833,285",73.30,69.8,76.8
Has Health Care Coverage,2012,Income Range,"$25,000 - 49,999","1,227","3,050,446","1,078","2,592,905",85.00,82.1,87.9
Has Health Care Coverage,2012,Income Range,"More than $75,000","1,649","4,006,046","1,611","3,864,694",96.50,94.8,98.1
Has Health Care Coverage,2012,Employment Status,Employed/Self-Employed,"3,160","8,370,268","2,776","7,092,568",84.70,82.8,86.6
Has Health Care Coverage,2012,Employment Status,Unemployed,382,"1,265,414",257,"773,067",61.10,53.7,68.5
Has Health Care Coverage,2012,Employment Status,Not in Labor Force,"2,465","5,456,156","2,309","4,929,133",90.30,88.3,92.3
Has Health Care Coverage,2012,Mental Health Status,Good Mental Health,"5,194","12,886,350","4,638","10,966,114",85.10,83.5,86.7
Does Not Have Health Care Coverage,2012,TOTAL,TOTAL,"6,041","15,191,490",671,"2,327,385",15.30,13.8,16.8
Does Not Have Health Care Coverage,2012,NYC/ROS,Rest of State (NYS excluding NYC),"4,407","8,698,259",391,"1,051,612",12.10,10.6,13.6
Does Not Have Health Care Coverage,2012,NYC/ROS,New York City,"1,634","6,493,231",280,"1,275,773",19.60,16.9,22.4
Does Not Have Health Care Coverage,2012,Sex,Female,"3,596","7,983,516",336,"1,020,980",12.80,11,14.6
Does Not Have Health Care Coverage,2012,Race/Ethnicity,White/Non-Hispanic,"4,363","8,684,117",338,"861,325",9.90,8.5,11.3
Does Not Have Health Care Coverage,2012,Race/Ethnicity,Other Race or Multiracial/Non-Hispanic,351,"1,476,733",52,"209,513",14.20,9,19.3
Does Not Have Health Care Coverage,2012,Race/Ethnicity,Hispanic,654,"2,562,765",184,"875,970",34.20,29.2,39.1
Does Not Have Health Care Coverage,2012,Age Group,18-24,421,"1,896,979",99,"480,703",25.30,20,30.7
Does Not Have Health Care Coverage,2012,Age Group,45-64,"2,258","5,109,026",249,"648,759",12.70,10.6,14.8
Does Not Have Health Care Coverage,2012,Age Group,65+,"1,716","2,812,153",33,"53,878",1.90,1.1,2.8
Does Not Have Health Care Coverage,2012,Education Level,Less than H.S.,516,"2,302,089",132,"752,736",32.70,26.9,38.5
Does Not Have Health Care Coverage,2012,Education Level,H.S. or GED,"1,593","4,151,923",208,"705,798",17.00,14.1,19.9
Does Not Have Health Care Coverage,2012,Education Level,Some Post H.S.,"1,462","4,091,928",152,"507,020",12.40,9.9,14.8
Does Not Have Health Care Coverage,2012,Education Level,College Graduate,"2,444","4,572,176",177,"351,719",7.70,6.4,9
Does Not Have Health Care Coverage,2012,Income Range,"Less than $25,000","1,521","3,863,940",316,"1,030,655",26.70,23.2,30.2
Does Not Have Health Care Coverage,2012,Income Range,"$25,000 - 49,999","1,227","3,050,446",149,"457,540",15.00,12.1,17.9
Does Not Have Health Care Coverage,2012,Income Range,"$50,000 - 74,999",799,"1,856,641",57,"184,019",9.90,6.8,13.1
Does Not Have Health Care Coverage,2012,Income Range,"More than $75,000","1,649","4,006,046",38,"141,352",3.50,1.9,5.2
Does Not Have Health Care Coverage,2012,Employment Status,Employed/Self-Employed,"3,160","8,370,268",384,"1,277,700",15.30,13.4,17.2
Does Not Have Health Care Coverage,2012,Employment Status,Unemployed,382,"1,265,414",125,"492,347",38.90,31.5,46.3
Does Not Have Health Care Coverage,2012,Mental Health Status,Good Mental Health,"5,194","12,886,350",556,"1,920,236",14.90,13.3,16.5
Has Health Care Coverage,2013,NYC/ROS,Rest of State (NYS excluding NYC),"4,862","8,741,854","4,421","7,705,978",88.20,86.8,89.5
Has Health Care Coverage,2013,Race/Ethnicity,White/Non-Hispanic,"5,895","8,680,022","5,515","7,979,175",91.90,90.9,92.9
Has Health Care Coverage,2013,Race/Ethnicity,Black/Non-Hispanic,"1,005","2,080,713",869,"1,758,073",84.50,81.5,87.5
Has Health Care Coverage,2013,Race/Ethnicity,Other Race or Multiracial/Non-Hispanic,547,"1,499,431",457,"1,240,879",82.80,78.3,87.3
Has Health Care Coverage,2013,Race/Ethnicity,Hispanic,"1,221","2,648,142",935,"1,860,385",70.30,66.8,73.7
Has Health Care Coverage,2013,Age Group,18-24,620,"1,894,119",501,"1,531,508",80.90,77,84.7
Has Health Care Coverage,2013,Age Group,25-44,"2,329","5,188,802","1,893","4,005,810",77.20,74.9,79.5
Has Health Care Coverage,2013,Age Group,45-64,"3,293","5,180,443","2,960","4,638,771",89.50,88.1,91
Has Health Care Coverage,2013,Age Group,65+,"2,532","2,868,334","2,498","2,819,081",98.30,97.6,99
Has Health Care Coverage,2013,Education Level,Less than H.S.,887,"2,371,013",689,"1,718,636",72.50,68.5,76.5
Has Health Care Coverage,2013,Education Level,H.S. or GED,"2,109","4,129,274","1,837","3,511,874",85.00,83.1,87
Has Health Care Coverage,2013,Education Level,Some Post H.S.,"2,125","4,130,133","1,882","3,563,513",86.30,84.3,88.3
Has Health Care Coverage,2013,Income Range,"Less than $25,000","2,356","4,175,871","1,897","3,147,738",75.40,72.9,77.9
Has Health Care Coverage,2013,Income Range,"$25,000 - 49,999","1,794","3,151,840","1,573","2,620,094",83.10,80.5,85.8
Has Health Care Coverage,2013,Income Range,"$50,000 - 74,999","1,017","1,650,333",966,"1,535,593",93.00,90.9,95.2
Has Health Care Coverage,2013,Income Range,"More than $75,000","2,498","4,080,646","2,441","3,950,844",96.80,95.8,97.8
Has Health Care Coverage,2013,Employment Status,Employed/Self-Employed,"4,640","8,563,904","4,050","7,109,249",83.00,81.5,84.6
Has Health Care Coverage,2013,Mental Health Status,Poor Mental Health,924,"1,727,952",808,"1,442,860",83.50,79.3,87.7
Has Health Care Coverage,2013,Mental Health Status,Good Mental Health,"7,769","13,161,872","6,985","11,378,872",86.50,85.4,87.5
Does Not Have Health Care Coverage,2013,TOTAL,TOTAL,"8,939","15,304,635",934,"2,157,485",14.10,13,15.2
Does Not Have Health Care Coverage,2013,NYC/ROS,New York City,"4,077","6,562,781",493,"1,121,609",17.10,15.3,18.9
Does Not Have Health Care Coverage,2013,Race/Ethnicity,White/Non-Hispanic,"5,895","8,680,022",380,"700,847",8.10,7.1,9.1
Does Not Have Health Care Coverage,2013,Race/Ethnicity,Black/Non-Hispanic,"1,005","2,080,713",136,"322,640",15.50,12.5,18.5
Does Not Have Health Care Coverage,2013,Race/Ethnicity,Other Race or Multiracial/Non-Hispanic,547,"1,499,431",90,"258,552",17.20,12.7,21.7
Does Not Have Health Care Coverage,2013,Race/Ethnicity,Hispanic,"1,221","2,648,142",286,"787,758",29.70,26.3,33.2
Does Not Have Health Care Coverage,2013,Age Group,18-24,620,"1,894,119",119,"362,610",19.10,15.3,23
Does Not Have Health Care Coverage,2013,Age Group,25-44,"2,329","5,188,802",436,"1,182,992",22.80,20.5,25.1
Does Not Have Health Care Coverage,2013,Age Group,45-64,"3,293","5,180,443",333,"541,672",10.50,9,11.9
Does Not Have Health Care Coverage,2013,Age Group,65+,"2,532","2,868,334",34,"49,253",1.70,1,2.4
Does Not Have Health Care Coverage,2013,Education Level,Less than H.S.,887,"2,371,013",198,"652,377",27.50,23.5,31.5
Does Not Have Health Care Coverage,2013,Education Level,H.S. or GED,"2,109","4,129,274",272,"617,400",15.00,13,16.9
Does Not Have Health Care Coverage,2013,Education Level,College Graduate,"3,760","4,576,697",214,"308,538",6.70,5.5,8
Does Not Have Health Care Coverage,2013,Income Range,"$50,000 - 74,999","1,017","1,650,333",51,"114,740",7.00,4.8,9.1
Does Not Have Health Care Coverage,2013,Income Range,"More than $75,000","2,498","4,080,646",57,"129,802",3.20,2.2,4.2
Does Not Have Health Care Coverage,2013,Employment Status,Employed/Self-Employed,"4,640","8,563,904",590,"1,454,656",17.00,15.4,18.5
Does Not Have Health Care Coverage,2013,Employment Status,Unemployed,609,"1,258,875",151,"328,828",26.10,21.2,31
Does Not Have Health Care Coverage,2013,Employment Status,Not in Labor Force,"3,593","5,320,131",179,"354,107",6.70,5.4,7.9
Does Not Have Health Care Coverage,2013,Mental Health Status,Poor Mental Health,924,"1,727,952",116,"285,092",16.50,12.3,20.7
Does Not Have Health Care Coverage,2013,Mental Health Status,Good Mental Health,"7,769","13,161,872",784,"1,783,000",13.50,12.5,14.6
Has Health Care Coverage,2014,TOTAL,TOTAL,"6,841","15,451,419","6,276","13,553,965",87.70,86.6,88.9
Has Health Care Coverage,2014,NYC/ROS,Rest of State (NYS excluding NYC),"3,864","8,798,254","3,622","8,007,478",91.00,89.7,92.4
Has Health Care Coverage,2014,Sex,Male,"2,856","7,377,391","2,555","6,246,364",84.70,82.8,86.5
Has Health Care Coverage,2014,Sex,Female,"3,985","8,074,028","3,721","7,307,601",90.50,89.2,91.8
Has Health Care Coverage,2014,Race/Ethnicity,Black/Non-Hispanic,875,"2,140,126",776,"1,818,206",85.00,81.7,88.2
Has Health Care Coverage,2014,Race/Ethnicity,Hispanic,858,"2,669,104",701,"2,014,726",75.50,71.7,79.2
Has Health Care Coverage,2014,Age Group,18-24,401,"1,928,244",347,"1,655,117",85.80,81.8,89.9
Has Health Care Coverage,2014,Age Group,25-44,"1,628","5,226,346","1,357","4,153,486",79.50,77,81.9
Has Health Care Coverage,2014,Age Group,45-64,"2,622","5,151,367","2,427","4,698,138",91.20,89.7,92.7
Has Health Care Coverage,2014,Age Group,65+,"2,078","2,959,382","2,040","2,884,736",97.50,96.4,98.5
Has Health Care Coverage,2014,Education Level,Less than H.S.,599,"2,314,056",467,"1,669,341",72.10,67.7,76.6
Has Health Care Coverage,2014,Education Level,H.S. or GED,"1,617","4,155,597","1,459","3,621,705",87.20,84.9,89.4
Has Health Care Coverage,2014,Education Level,Some Post H.S.,"1,569","4,161,672","1,430","3,714,318",89.30,87.2,91.3
Has Health Care Coverage,2014,Income Range,"Less than $25,000","1,695","3,939,737","1,447","3,148,691",79.90,77.3,82.5
Has Health Care Coverage,2014,Income Range,"$25,000 - 49,999","1,315","3,102,997","1,194","2,672,362",86.10,83.3,88.9
Has Health Care Coverage,2014,Income Range,"$50,000 - 74,999",810,"1,800,634",768,"1,654,592",91.90,89,94.8
Has Health Care Coverage,2014,Income Range,"More than $75,000","1,968","4,177,218","1,919","4,042,407",96.80,95.7,97.8
Has Health Care Coverage,2014,Employment Status,Not in Labor Force,"2,854","5,513,403","2,711","5,038,523",91.40,89.7,93.1
Has Health Care Coverage,2014,Mental Health Status,Poor Mental Health,723,"1,770,764",638,"1,487,891",84.00,80.3,87.8
Has Health Care Coverage,2014,Mental Health Status,Good Mental Health,"5,928","13,253,184","5,469","11,697,106",88.30,87,89.5
Does Not Have Health Care Coverage,2014,NYC/ROS,Rest of State (NYS excluding NYC),"3,864","8,798,254",242,"790,777",9.00,7.6,10.3
Does Not Have Health Care Coverage,2014,NYC/ROS,New York City,"2,977","6,653,164",323,"1,106,677",16.60,14.7,18.6
Does Not Have Health Care Coverage,2014,Sex,Male,"2,856","7,377,391",301,"1,131,026",15.30,13.5,17.2
Does Not Have Health Care Coverage,2014,Sex,Female,"3,985","8,074,028",264,"766,427",9.50,8.2,10.8
Does Not Have Health Care Coverage,2014,Race/Ethnicity,White/Non-Hispanic,"4,459","8,640,272",214,"580,982",6.70,5.6,7.8
Does Not Have Health Care Coverage,2014,Race/Ethnicity,Black/Non-Hispanic,875,"2,140,126",99,"321,920",15.00,11.8,18.3
Does Not Have Health Care Coverage,2014,Race/Ethnicity,Hispanic,858,"2,669,104",157,"654,378",24.50,20.8,28.3
Does Not Have Health Care Coverage,2014,Age Group,18-24,401,"1,928,244",54,"273,127",14.20,10.1,18.2
Does Not Have Health Care Coverage,2014,Age Group,25-44,"1,628","5,226,346",271,"1,072,860",20.50,18.1,23
Does Not Have Health Care Coverage,2014,Age Group,65+,"2,078","2,959,382",38,"74,646",2.50,1.5,3.6
Does Not Have Health Care Coverage,2014,Education Level,H.S. or GED,"1,617","4,155,597",158,"533,892",12.80,10.6,15.1
Does Not Have Health Care Coverage,2014,Education Level,Some Post H.S.,"1,569","4,161,672",139,"447,353",10.70,8.7,12.8
Does Not Have Health Care Coverage,2014,Education Level,College Graduate,"2,964","4,635,840",122,"237,478",5.10,4,6.2
Does Not Have Health Care Coverage,2014,Income Range,"Less than $25,000","1,695","3,939,737",248,"791,046",20.10,17.5,22.7
Does Not Have Health Care Coverage,2014,Income Range,"$25,000 - 49,999","1,315","3,102,997",121,"430,635",13.90,11.1,16.7
Does Not Have Health Care Coverage,2014,Income Range,"$50,000 - 74,999",810,"1,800,634",42,"146,042",8.10,5.2,11
Does Not Have Health Care Coverage,2014,Income Range,"More than $75,000","1,968","4,177,218",49,"134,811",3.20,2.2,4.3
Does Not Have Health Care Coverage,2014,Employment Status,Employed/Self-Employed,"3,448","8,453,575",312,"1,061,509",12.60,11,14.1
Does Not Have Health Care Coverage,2014,Employment Status,Unemployed,423,"1,198,395",90,"286,560",23.90,18.8,29
Does Not Have Health Care Coverage,2014,Employment Status,Not in Labor Force,"2,854","5,513,403",143,"474,880",8.60,6.9,10.3
Does Not Have Health Care Coverage,2014,Mental Health Status,Poor Mental Health,723,"1,770,764",85,"282,873",16.00,12.2,19.7
Has Health Care Coverage,2015,TOTAL,TOTAL,"12,314","15,546,755","11,542","13,982,693",89.90,89.1,90.8
Has Health Care Coverage,2015,NYC/ROS,Rest of State (NYS excluding NYC),"7,953","8,837,022","7,538","8,118,141",91.90,90.9,92.8
Has Health Care Coverage,2015,DSRIP Region,Long Island,"1,474","2,235,041","1,377","2,017,256",90.30,88,92.5
Has Health Care Coverage,2015,DSRIP Region,Mid-Hudson,"1,269","1,792,818","1,180","1,616,408",90.20,88,92.4
Has Health Care Coverage,2015,DSRIP Region,Tug Hill Seaway,307,"200,119",293,"189,656",94.80,91.9,97.7
Has Health Care Coverage,2015,DSRIP Region,Central New York,701,"782,190",670,"723,864",92.50,89.5,95.6
Has Health Care Coverage,2015,DSRIP Region,Southern Tier,367,"382,674",356,"364,065",95.10,91.9,98.4
Has Health Care Coverage,2015,DSRIP Region,Western New York,"1,046","1,221,670",992,"1,142,198",93.50,91.3,95.7
Has Health Care Coverage,2015,Sex,Male,"5,187","7,437,553","4,764","6,474,925",87.10,85.7,88.5
Has Health Care Coverage,2015,Race/Ethnicity,White/Non-Hispanic,"8,391","8,610,225","8,091","8,159,200",94.80,94,95.5
Has Health Care Coverage,2015,Race/Ethnicity,Black/Non-Hispanic,"1,308","2,127,400","1,211","1,947,080",91.50,89.5,93.5
Has Health Care Coverage,2015,Race/Ethnicity,Other Race or Multiracial/Non-Hispanic,758,"1,586,067",694,"1,432,815",90.30,87.6,93.1
Has Health Care Coverage,2015,Race/Ethnicity,Hispanic,"1,500","2,713,532","1,212","1,995,574",73.50,70.6,76.5
Has Health Care Coverage,2015,Age Group,18-24,651,"1,910,648",574,"1,652,180",86.50,83.3,89.6
Has Health Care Coverage,2015,Age Group,25-44,"2,735","5,253,292","2,392","4,414,770",84.00,82.2,85.8
Has Health Care Coverage,2015,Age Group,65+,"4,035","3,032,803","3,974","2,975,912",98.10,97.5,98.7
Has Health Care Coverage,2015,Education Level,Less than H.S.,"1,109","2,288,735",903,"1,704,813",74.50,71,77.9
Has Health Care Coverage,2015,Education Level,Some Post H.S.,"2,875","4,181,345","2,717","3,862,012",92.40,91,93.7
Has Health Care Coverage,2015,Education Level,College Graduate,"5,265","4,777,914","5,098","4,585,060",96.00,95.2,96.7
Has Health Care Coverage,2015,Income Range,"$25,000 - 49,999","2,231","2,633,876","2,044","2,309,833",87.70,85.7,89.7
Has Health Care Coverage,2015,Income Range,"$50,000 - 74,999","1,555","1,864,366","1,496","1,761,892",94.50,92.8,96.3
Has Health Care Coverage,2015,Income Range,"More than $75,000","3,714","4,519,078","3,670","4,427,599",98.00,97.2,98.7
Has Health Care Coverage,2015,Employment Status,Unemployed,666,"1,057,278",560,"851,102",80.50,76.4,84.6
Has Health Care Coverage,2015,Mental Health Status,Poor Mental Health,"1,308","1,761,544","1,212","1,565,093",88.80,86.1,91.6
Does Not Have Health Care Coverage,2015,NYC/ROS,Rest of State (NYS excluding NYC),"7,953","8,837,022",415,"718,881",8.10,7.2,9.1
Does Not Have Health Care Coverage,2015,NYC/ROS,New York City,"4,361","6,709,733",357,"845,181",12.60,11.1,14.1
Does Not Have Health Care Coverage,2015,DSRIP Region,New York City,"4,361","6,709,733",357,"845,181",12.60,11.1,14.1
Does Not Have Health Care Coverage,2015,DSRIP Region,Mid-Hudson,"1,269","1,792,818",89,"176,410",9.80,7.6,12
Does Not Have Health Care Coverage,2015,DSRIP Region,Capital Region,"1,060","764,744",28,"36,374",4.80,2.8,6.7
Does Not Have Health Care Coverage,2015,DSRIP Region,Mohawk Valley,301,"186,819",18,"11,956",6.40,2.7,10.1
Does Not Have Health Care Coverage,2015,DSRIP Region,North Country,426,"262,781",30,"24,573",9.40,5.4,13.3
Does Not Have Health Care Coverage,2015,DSRIP Region,Central New York,701,"782,190",31,"58,326",7.50,4.4,10.5
Does Not Have Health Care Coverage,2015,DSRIP Region,Southern Tier,367,"382,674",11,"18,610",4.90,1.6,8.1
Does Not Have Health Care Coverage,2015,DSRIP Region,Finger Lakes,"1,002","1,008,165",43,"84,911",8.40,5.1,11.8
Does Not Have Health Care Coverage,2015,DSRIP Region,Western New York,"1,046","1,221,670",54,"79,473",6.50,4.3,8.7
Does Not Have Health Care Coverage,2015,Sex,Male,"5,187","7,437,553",423,"962,629",12.90,11.5,14.3
Does Not Have Health Care Coverage,2015,Race/Ethnicity,Black/Non-Hispanic,"1,308","2,127,400",97,"180,320",8.50,6.5,10.5
Does Not Have Health Care Coverage,2015,Race/Ethnicity,Hispanic,"1,500","2,713,532",288,"717,958",26.50,23.5,29.4
Does Not Have Health Care Coverage,2015,Age Group,18-24,651,"1,910,648",77,"258,468",13.50,10.4,16.7
Does Not Have Health Care Coverage,2015,Age Group,25-44,"2,735","5,253,292",343,"838,522",16.00,14.2,17.8
Does Not Have Health Care Coverage,2015,Age Group,45-64,"4,702","5,147,552",284,"396,856",7.70,6.6,8.8
Does Not Have Health Care Coverage,2015,Age Group,65+,"4,035","3,032,803",61,"56,890",1.90,1.3,2.5
Does Not Have Health Care Coverage,2015,Education Level,Less than H.S.,"1,109","2,288,735",206,"583,922",25.50,22.1,29
Does Not Have Health Care Coverage,2015,Education Level,Some Post H.S.,"2,875","4,181,345",158,"319,333",7.60,6.3,9
Does Not Have Health Care Coverage,2015,Education Level,College Graduate,"5,265","4,777,914",167,"192,854",4.00,3.3,4.8
Does Not Have Health Care Coverage,2015,Income Range,"Less than $25,000","2,832","3,780,222",312,"648,196",17.10,15.1,19.2
Does Not Have Health Care Coverage,2015,Income Range,"$50,000 - 74,999","1,555","1,864,366",59,"102,475",5.50,3.7,7.2
Does Not Have Health Care Coverage,2015,Income Range,"More than $75,000","3,714","4,519,078",44,"91,479",2.00,1.3,2.8
Does Not Have Health Care Coverage,2015,Employment Status,Employed/Self-Employed,"6,172","8,698,535",460,"993,423",11.40,10.2,12.6
Does Not Have Health Care Coverage,2015,Employment Status,Unemployed,666,"1,057,278",106,"206,176",19.50,15.4,23.6
Does Not Have Health Care Coverage,2015,Mental Health Status,Good Mental Health,"10,692","13,380,110",654,"1,330,680",9.90,9.1,10.8
Has Health Care Coverage,2016,TOTAL,TOTAL,"34,057","15,537,043","32,025","14,059,679",90.50,89.8,91.2
Has Health Care Coverage,2016,NYC/ROS,Rest of State (NYS excluding NYC),"29,678","8,839,206","28,103","8,147,806",92.20,91.3,93
Has Health Care Coverage,2016,NYC/ROS,New York City,"4,379","6,697,837","3,922","5,911,873",88.30,87,89.5
Has Health Care Coverage,2016,DSRIP Region,Long Island,"1,183","2,246,788","1,099","2,042,486",90.90,88.4,93.4
Has Health Care Coverage,2016,DSRIP Region,New York City,"4,379","6,697,837","3,922","5,911,873",88.30,87,89.5
Has Health Care Coverage,2016,DSRIP Region,Mohawk Valley,"2,205","205,083","2,083","188,440",91.90,89.9,93.8
Has Health Care Coverage,2016,DSRIP Region,North Country,"3,087","244,738","2,939","228,943",93.50,91.7,95.4
Has Health Care Coverage,2016,DSRIP Region,Southern Tier,"2,216","356,447","2,117","336,742",94.50,92.7,96.2
Has Health Care Coverage,2016,DSRIP Region,Western New York,"4,691","1,216,959","4,445","1,118,838",91.90,89.8,94.1
Has Health Care Coverage,2016,Sex,Male,"14,981","7,418,463","13,817","6,564,653",88.50,87.3,89.6
Has Health Care Coverage,2016,Race/Ethnicity,White/Non-Hispanic,"27,667","8,573,777","26,421","8,123,826",94.80,94.1,95.4
Has Health Care Coverage,2016,Race/Ethnicity,Black/Non-Hispanic,"1,714","2,143,248","1,570","1,940,593",90.50,88.5,92.6
Does Not Have Health Care Coverage,2016,Sex,Female,"19,074","8,118,412",868,"623,554",7.70,6.8,8.6
Has Health Care Coverage,2016,Race/Ethnicity,Other Race or Multiracial/Non-Hispanic,"1,483","1,676,122","1,349","1,516,355",90.50,87.7,93.2
Has Health Care Coverage,2016,Race/Ethnicity,Hispanic,"2,393","2,679,709","1,953","2,070,444",77.30,74.8,79.8
Has Health Care Coverage,2016,Age Group,18-24,"1,803","1,855,701","1,587","1,637,675",88.30,85.4,91.1
Has Health Care Coverage,2016,Age Group,25-44,"7,370","5,250,576","6,524","4,469,818",85.10,83.6,86.6
Has Health Care Coverage,2016,Age Group,65+,"11,243","3,080,643","11,019","3,005,871",97.60,97,98.2
Has Health Care Coverage,2016,Education Level,Less than H.S.,"2,925","2,240,499","2,396","1,698,855",75.80,72.9,78.8
Has Health Care Coverage,2016,Education Level,H.S. or GED,"9,900","4,111,113","9,231","3,689,849",89.80,88.2,91.3
Has Health Care Coverage,2016,Education Level,Some Post H.S.,"8,790","4,194,486","8,373","3,910,559",93.20,92.1,94.4
